2022-May-01 15:35:02 PM [main] INFO  com.inetbanking.testcases.BaseClass - inetbanking
2022-May-01 15:35:43 PM [main] INFO  com.inetbanking.testcases.BaseClass - url opened
2022-May-01 15:36:10 PM [main] INFO  com.inetbanking.testcases.BaseClass - user name provided
2022-May-01 15:36:11 PM [main] INFO  com.inetbanking.testcases.BaseClass - password provided
2022-May-01 15:36:36 PM [main] INFO  com.inetbanking.testcases.BaseClass - user name provided
2022-May-01 15:36:37 PM [main] INFO  com.inetbanking.testcases.BaseClass - password provided
2022-May-01 15:36:58 PM [main] INFO  com.inetbanking.testcases.BaseClass - user name provided
2022-May-01 15:36:59 PM [main] INFO  com.inetbanking.testcases.BaseClass - password provided
2022-May-01 15:37:12 PM [main] INFO  com.inetbanking.testcases.BaseClass - user name provided
2022-May-01 15:37:12 PM [main] INFO  com.inetbanking.testcases.BaseClass - password provided
2022-May-01 15:37:23 PM [main] INFO  com.inetbanking.testcases.BaseClass - user name provided
2022-May-01 15:37:27 PM [main] INFO  com.inetbanking.testcases.BaseClass - password provided
