2022-May-01 15:40:20 PM [main] INFO  com.inetbanking.testcases.BaseClass - inetbanking
2022-May-01 15:40:39 PM [main] INFO  com.inetbanking.testcases.BaseClass - url opened
2022-May-01 15:40:54 PM [main] INFO  com.inetbanking.testcases.BaseClass - user name provided
2022-May-01 15:40:55 PM [main] INFO  com.inetbanking.testcases.BaseClass - password provided
2022-May-01 15:41:17 PM [main] INFO  com.inetbanking.testcases.BaseClass - user name provided
2022-May-01 15:41:23 PM [main] INFO  com.inetbanking.testcases.BaseClass - password provided
2022-May-01 15:41:36 PM [main] INFO  com.inetbanking.testcases.BaseClass - user name provided
2022-May-01 15:41:36 PM [main] INFO  com.inetbanking.testcases.BaseClass - password provided
2022-May-01 15:41:58 PM [main] INFO  com.inetbanking.testcases.BaseClass - user name provided
2022-May-01 15:41:58 PM [main] INFO  com.inetbanking.testcases.BaseClass - password provided
2022-May-01 15:42:33 PM [main] INFO  com.inetbanking.testcases.BaseClass - user name provided
2022-May-01 15:42:33 PM [main] INFO  com.inetbanking.testcases.BaseClass - password provided
